Yield_CT,Yield_NT,NT_effect,Latitude,Longitude,Crop,Years_NT,Crop_rotation_CT,Crop_rotation_NT,Soil_cover_CT,Soil_cover_NT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin,ST
2567.0,2694.0,Yes,48.28,-105.1,wheat.winter,3,0,0,,,1.0,1.0,395.8,534.828,-139.028,5.03333,24.7986,-20.09568,Loam
2405.0,2439.0,Yes,48.28,-105.1,wheat.winter,4,0,0,,,1.0,1.0,260.3,590.273,-329.973,5.79167,29.19186,-21.60286,Loam
2439.0,2788.0,Yes,48.28,-105.1,wheat.winter,5,0,0,,,1.0,1.0,397.3,555.26,-157.96,6.86667,29.48728,-16.19572,Loam
3005.0,2943.0,No,32.42,-93.64,soybean,3,1,1,0.0,1.0,1.0,1.0,511.9000053,546.6868881,-34.787,26.15999985,35.3316296,14.98488395,Loam
3062.0,2670.0,No,32.42,-93.64,soybean,4,1,1,0.0,1.0,1.0,1.0,475.0999966,511.4026107,-36.303,24.96000023,34.27268933,13.00351149,Loam
2750.0,750.0,No,9.07,38.48,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
3300.0,860.0,No,9.07,38.48,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
3490.0,1080.0,No,9.07,38.48,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
1290.0,1200.0,No,9.07,38.48,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
1340.0,1160.0,No,9.07,38.48,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
1370.0,1350.0,No,9.07,38.48,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
890.0,930.0,Yes,9.07,38.48,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
910.0,960.0,Yes,9.07,38.48,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
1100.0,1200.0,Yes,9.07,38.48,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
7225.0,6749.0,No,28.6,112.6,rice,32,0,0,0.0,1.0,,,963.1,285.776,677.324,18.55,26.04461,7.75104,Clay loam
2380.0,2620.0,Yes,47.46,-99.12,soybean,2,0,0,0.0,1.0,1.0,1.0,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
2760.0,2570.0,No,47.46,-99.12,soybean,2,0,0,0.0,1.0,1.0,1.0,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
2760.0,2520.0,No,47.46,-99.12,soybean,2,0,0,0.0,1.0,1.0,1.0,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
8189.0,7492.0,No,24.38,90.13,maize,1,1,1,,,,,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
8488.0,7771.0,No,24.38,90.13,maize,2,1,1,0.0,1.0,,,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
8508.0,7910.0,No,24.38,90.13,maize,3,1,1,0.0,1.0,,,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
9066.0,8388.0,No,24.38,90.13,maize,1,1,1,,,,,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
9245.0,8488.0,No,24.38,90.13,maize,2,1,1,0.0,1.0,,,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
9086.0,9404.0,Yes,24.38,90.13,maize,3,1,1,0.0,1.0,,,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
8388.0,7014.0,No,24.38,90.13,maize,1,1,1,,,,,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
8588.0,7233.0,No,24.38,90.13,maize,2,1,1,0.0,1.0,,,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
8747.0,7631.0,No,24.38,90.13,maize,3,1,1,0.0,1.0,,,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
